"id","region","price","year","manufacturer","model","condition","cylinders","fuel","odometer","title_status","transmission","VIN","drive","size","type","paint_color","county","state","lat","long","posting_date"
7316814884,"auburn",33590,2014,"gmc","sierra 1500 crew cab slt","good",8,"gas",57923,"clean","other","3GTP1VEC4EG551563",,,"pickup","white",,"al",32.59,-85.48,"2021-05-04T12:31:18-0500"
7316814758,"auburn",22590,2010,"chevrolet","silverado 1500","good",8,"gas",71229,"clean","other","1GCSCSE06AZ123805",,,"pickup","blue",,"al",32.59,-85.48,"2021-05-04T12:31:08-0500"
7316814989,"auburn",39590,2020,"chevrolet","silverado 1500 crew","good",8,"gas",19160,"clean","other","3GCPWCED5LG130317",,,"pickup","red",,"al",32.59,-85.48,"2021-05-04T12:31:25-0500"
7316743432,"auburn",30990,2017,"toyota","tundra double cab sr","good",8,"gas",41124,"clean","other","5TFRM5F17HX120972",,,"pickup","red",,"al",32.59,-85.48,"2021-05-04T10:41:31-0500"
7316356412,"auburn",15000,2013,"ford","f-150 xlt","excellent",6,"gas",128000,"clean","automatic",,"rwd","full-size","truck","black",,"al",32.592,-85.5189,"2021-05-03T14:02:03-0500"
7316343444,"auburn",27990,2012,"gmc","sierra 2500 hd extended cab","good",8,"gas",68696,"clean","other","1GT220CG8CZ231238","4wd",,"pickup","black",,"al",32.59,-85.48,"2021-05-03T13:41:25-0500"
7316304717,"auburn",34590,2016,"chevrolet","silverado 1500 double","good",6,"gas",29499,"clean","other","1GCVKREH6GZ228691","4wd",,"pickup","silver",,"al",32.59,-85.48,"2021-05-03T12:41:33-0500"
7316285779,"auburn",35000,2019,"toyota","tacoma","excellent",6,"gas",43000,"clean","automatic",,"4wd",,"truck","grey",,"al",32.6013,-85.443974,"2021-05-03T12:12:59-0500"
7316257769,"auburn",29990,2016,"chevrolet","colorado extended cab","good",6,"gas",17302,"clean","other","1GCHTCE37G1186784","4wd",,"pickup","red",,"al",32.59,-85.48,"2021-05-03T11:31:14-0500"
7316133914,"auburn",38590,2011,"chevrolet","corvette grand sport","good",8,"gas",30237,"clean","other","1G1YR3DW3B5102190","rwd",,"other","red",,"al",32.59,-85.48,"2021-05-03T07:50:35-0500"
7316130053,"auburn",4500,1992,"jeep","cherokee","excellent",6,"gas",192000,"clean","automatic",,"4wd",,,,,"al",32.6454,-85.3783,"2021-05-03T07:38:05-0500"
7315816316,"auburn",32990,2017,"jeep","wrangler unlimited sport","good",6,"gas",30041,"clean","other","1C4BJWDG5HL705371","4wd",,"other","silver",,"al",32.59,-85.48,"2021-05-02T12:22:10-0500"
7315770394,"auburn",24590,2017,"chevrolet","silverado 1500 regular","good",6,"gas",40784,"clean","other","1GCNCNEH7HZ118773",,,"pickup","white",,"al",32.59,-85.48,"2021-05-02T10:51:08-0500"
7315756348,"auburn",30990,2016,"chevrolet","colorado crew cab z71","good",,"other",34940,"clean","other","1GCGTDE32G1341288","4wd",,"pickup","blue",,"al",32.59,-85.48,"2021-05-02T10:21:33-0500"
7315715960,"auburn",27990,2014,"toyota","tacoma access cab pickup","good",,"other",17805,"clean","other","5TFTX4CN3EX042751",,,"pickup","red",,"al",32.59,-85.48,"2021-05-02T08:44:35-0500"
7315379459,"auburn",37990,2016,"chevrolet","camaro ss coupe 2d","good",8,"gas",9704,"clean","other","1G1FF1R79G0140582","rwd",,"coupe","red",,"al",32.59,-85.48,"2021-05-01T12:21:51-0500"
7315275975,"auburn",33590,2014,"toyota","tundra crewmax sr5 pickup","good",,"other",55251,"clean","other","5TFEY5F15EX169621",,,"pickup","red",,"al",32.59,-85.48,"2021-05-01T09:21:37-0500"
7315275942,"auburn",30990,2019,"ford","ranger supercrew xl pickup","good",,"other",1834,"clean","other","1FTER4EH3KLA31326",,,"pickup","black",,"al",32.59,-85.48,"2021-05-01T09:21:34-0500"
7315270785,"auburn",27990,2018,"nissan","frontier crew cab pro-4x","good",6,"gas",37332,"clean","other","1N6AD0EV5JN745213","4wd",,"pickup","silver",,"al",32.59,-85.48,"2021-05-01T09:11:35-0500"
7314910156,"auburn",34590,2018,"ford","f150 super cab xl pickup 4d","good",6,"gas",20856,"clean","other","1FTEX1CBXJKD41626",,,"pickup","white",,"al",32.59,-85.48,"2021-04-30T12:51:31-0500"
7314854462,"auburn",30590,2016,"toyota","tacoma double cab sr5","good",,"other",30176,"clean","other","3TMAZ5CN7GM019182",,,"pickup","red",,"al",32.59,-85.48,"2021-04-30T11:21:17-0500"
7314811916,"auburn",32990,2020,"jeep","wrangler sport suv 2d","good",,"gas",20581,"clean","other","1C4GJXAN4LW180633","4wd",,"SUV","silver",,"al",32.59,-85.48,"2021-04-30T10:11:01-0500"
7314811909,"auburn",38990,2020,"ford","f150 supercrew cab xlt","good",6,"gas",12231,"clean","other","1FTEW1CP4LFB84170",,,"pickup",,,"al",32.59,-85.48,"2021-04-30T10:11:00-0500"
